,Name,Id,Timestamp,Tweets,Modal
0,Alabama Political Reporter,1356757917920296962,2021-02-03 00:14:29,b'The address is scheduled to begin at 6:30 p.m. You can watch it live here.\nhttps://t.co/Z6ZGjG6mOP',D
1,Alabama Political Reporter,1356644812531896322,2021-02-02 16:45:03,"b'Users can schedule to be vaccinated, if their county has vaccine, and sign up to be notified when their county does\xe2\x80\xa6 https://t.co/J35vexp6fT'",D
2,Alabama Political Reporter,1356641533144018945,2021-02-02 16:32:01,"b'There were 11,615 new unemployment claims filed during the week of Jan. 17 to Jan. 23, according to the Alabama Dep\xe2\x80\xa6 https://t.co/RVMxsf6Q48'",D
3,Alabama Political Reporter,1356636003784683520,2021-02-02 16:10:03,b'The ACLU of Alabama on Monday criticized Gov. Kay Ivey\xe2\x80\x99s decision earlier in the day to sign off on 30-year leases\xe2\x80\xa6 https://t.co/vxBEPZUOep',D
4,Alabama Political Reporter,1356634232857255942,2021-02-02 16:03:00,b'A federal judge sentenced Joshua J. Young of Birmingham to 204 months in federal prison for a carjacking and shooti\xe2\x80\xa6 https://t.co/mWYparyLF4',D
5,Alabama Political Reporter,1356632475951386626,2021-02-02 15:56:01,b'The Alabama Democratic Party announced that it now is accepting resumes from individuals who are seeking federal ap\xe2\x80\xa6 https://t.co/dZyy3hOkx3',D
6,Alabama Political Reporter,1356631716526456842,2021-02-02 15:53:00,b'Republican state Rep. Rex Reynolds has sponsored legislation that would allow local law enforcement to intercept el\xe2\x80\xa6 https://t.co/uRCqxoCs8H',D
7,Alabama Political Reporter,1356631716069339144,2021-02-02 15:53:00,"b""Medicaid expansion, free menstrual products in school and greater expansion of voting rights are among the groups'\xe2\x80\xa6 https://t.co/XdKsxeJdqO""",D
8,Alabama Political Reporter,1356627193238085634,2021-02-02 15:35:02,"b'Amy Hubbard Marlowe, who has been serving as AEA\xe2\x80\x99s interim executive director since 2019, officially \xe2\x80\x94 and unanimou\xe2\x80\xa6 https://t.co/eYrPpyw9M7'",D
9,Alabama Political Reporter,1356621904052944900,2021-02-02 15:14:01,b'Voter file maintenance is a four-year process that uses a two-step mailing program to identify voters who may have\xe2\x80\xa6 https://t.co/TqwuhXmykh',D
10,Alabama Political Reporter,1356619386526793728,2021-02-02 15:04:01,"b'\xe2\x80\x9cNot everyone is or knows a union member, but if you do, you know the importance of our fight,"" Alabama AFL-CIO Pre\xe2\x80\xa6 https://t.co/x6Rqf0Wh9v'",D
11,Alabama Political Reporter,1356617374707908613,2021-02-02 14:56:01,b'The Business Council of Alabama has announced a new digital presence.\nhttps://t.co/Wka3a5Abgt',D
12,Alabama Political Reporter,1356616905927385098,2021-02-02 14:54:09,b'Gov. Kay Ivey will deliver her annual State of the State Address on Tuesday to mark the beginning of the 2021 Legis\xe2\x80\xa6 https://t.co/wctzxAnkPB',D
13,Alabama Political Reporter,1356613654918103040,2021-02-02 14:41:14,"b'\xe2\x80\x9cThe world is safer when America is fully engaged,"" Alabama Associate Justice Will Sellers writes.\nhttps://t.co/Tr6Rwhqz3U'",D
14,Alabama Political Reporter,1356332902284488706,2021-02-01 20:05:38,"b'Alabama Gov. Kay Ivey has signed 30-year leases for two new prisons to be built in Escambia and Elmore counties, wi\xe2\x80\xa6 https://t.co/IJyRQ1R5bd'",D
15,Alabama Political Reporter,1356273607656275971,2021-02-01 16:10:01,"b""According to documents shared by Gov. Kay Ivey's administration with lawmakers Friday, the deal will cost approxima\xe2\x80\xa6 https://t.co/s7qIHexdhe""",D
16,Alabama Political Reporter,1356271847751487493,2021-02-01 16:03:01,"b'""We got to continue to make this city safe, and we can do it, because we\xe2\x80\x99re all in it together because we\xe2\x80\x99re progre\xe2\x80\xa6 https://t.co/k5tS6VwRII'",D
